kisapaikka;vuosi;Mitali;Laji;kilpailu;urheilija;kotikunta;maakunta;alkupkunta
Calgary;1988;Hopeaa;Jääkiekko;NULL;Jarmo Myllys;Savonlinna;Etelä-Savo;NULL
Calgary;1988;Hopeaa;Jääkiekko;NULL;Timo Blomqvist;Helsinki;Uusimaa;NULL
Calgary;1988;Hopeaa;Jääkiekko;NULL;Kari Eloranta;Lahti;Päijät-Häme;NULL
Calgary;1988;Hopeaa;Jääkiekko;NULL;Timo Susi;Kouvola;Kymenlaakso;NULL
Calgary;1988;Hopeaa;Jääkiekko;NULL;Iiro Järvi;Helsinki;Uusimaa;NULL
Calgary;1988;Hopeaa;Jääkiekko;NULL;Erkki Lehtonen;Tampere;Pirkanmaa;NULL
Calgary;1988;Hopeaa;Jääkiekko;NULL;Jukka Tammi;Tampere;Pirkanmaa;NULL
Calgary;1988;Hopeaa;Jääkiekko;NULL;Jyrki Lumme;Tampere;Pirkanmaa;NULL
Calgary;1988;Hopeaa;Jääkiekko;NULL;Jukka Virtanen;Säkylä;Satakunta;NULL
Calgary;1988;Hopeaa;Jääkiekko;NULL;Kai Suikkanen;Parkano;Pirkanmaa;NULL
Calgary;1988;Hopeaa;Jääkiekko;NULL;Erkki Laine;Lahti;Päijät-Häme;NULL
Calgary;1988;Hopeaa;Jääkiekko;NULL;Reijo Mikkolainen;Pirkkala;Pirkanmaa;NULL
Calgary;1988;Hopeaa;Jääkiekko;NULL;Teppo Numminen;Tampere;Pirkanmaa;NULL
Calgary;1988;Hopeaa;Jääkiekko;NULL;Arto Ruotanen;Pyhäjärvi;Pohjois-Pohjanmaa;NULL
Calgary;1988;Hopeaa;Jääkiekko;NULL;Reijo Ruotsalainen;Oulu;Pohjois-Pohjanmaa;NULL
Calgary;1988;Hopeaa;Jääkiekko;NULL;Jari Torkki;Eura;Satakunta;NULL
Calgary;1988;Hopeaa;Jääkiekko;NULL;Pekka Tuomisto;Oulu;Pohjois-Pohjanmaa;NULL
Calgary;1988;Hopeaa;Jääkiekko;NULL;Esa Keskinen;Ylöjärvi;Pirkanmaa;NULL
Calgary;1988;Hopeaa;Jääkiekko;NULL;Raimo Helminen;Tampere;Pirkanmaa;NULL
Calgary;1988;Hopeaa;Jääkiekko;NULL;Janne Ojanen;Tampere;Pirkanmaa;NULL
Calgary;1988;Hopeaa;Jääkiekko;NULL;Kari Laitinen;Vantaa (Helsingin maalaiskunta);Uusimaa;NULL
Calgary;1988;Hopeaa;Jääkiekko;NULL;Simo Saarinen;Helsinki;Uusimaa;NULL
Lillehammer;1994;Pronssia;Jääkiekko;NULL;Jarmo Myllys;Savonlinna;Etelä-Savo;NULL
Lillehammer;1994;Pronssia;Jääkiekko;NULL;Erik Hämäläinen;Rauma;Satakunta;NULL
Lillehammer;1994;Pronssia;Jääkiekko;NULL;Hannu Virta;Turku;Varsinais-Suomi;NULL
Lillehammer;1994;Pronssia;Jääkiekko;NULL;Saku Koivu;Turku;Varsinais-Suomi;NULL
Lillehammer;1994;Pronssia;Jääkiekko;NULL;Ville Peltonen;Vantaa;Uusimaa;NULL
Lillehammer;1994;Pronssia;Jääkiekko;NULL;Petri Varis;Varkaus;Pohjois-Savo;NULL
Lillehammer;1994;Pronssia;Jääkiekko;NULL;Jukka Tammi;Tampere;Pirkanmaa;NULL
Lillehammer;1994;Pronssia;Jääkiekko;NULL;Timo Jutila;Tampere;Pirkanmaa;NULL
Lillehammer;1994;Pronssia;Jääkiekko;NULL;Mika Strömberg;Helsinki;Uusimaa;NULL
Lillehammer;1994;Pronssia;Jääkiekko;NULL;Marko Palo;Jyväskylä (Jyväskylän maalaiskunta);Keski-Suomi;NULL
Lillehammer;1994;Pronssia;Jääkiekko;NULL;Jere Lehtinen;Espoo;Uusimaa;NULL
Lillehammer;1994;Pronssia;Jääkiekko;NULL;Mika Nieminen;Tampere;Pirkanmaa;NULL
Lillehammer;1994;Pronssia;Jääkiekko;NULL;Marko Kiprusoff;Turku;Varsinais-Suomi;NULL
Lillehammer;1994;Pronssia;Jääkiekko;NULL;Pasi Sormunen;Kauniainen;Uusimaa;NULL
Lillehammer;1994;Pronssia;Jääkiekko;NULL;Janne Ojanen;Tampere;Pirkanmaa;NULL
Lillehammer;1994;Pronssia;Jääkiekko;NULL;Raimo Helminen;Tampere;Pirkanmaa;NULL
Lillehammer;1994;Pronssia;Jääkiekko;NULL;Sami Kapanen;Vantaa;Uusimaa;NULL
Lillehammer;1994;Pronssia;Jääkiekko;NULL;Mikko Mäkelä;Tampere;Pirkanmaa;NULL
Lillehammer;1994;Pronssia;Jääkiekko;NULL;Janne Laukkanen;Lahti;Päijät-Häme;NULL
Lillehammer;1994;Pronssia;Jääkiekko;NULL;Esa Keskinen;Ylöjärvi;Pirkanmaa;NULL
Lillehammer;1994;Pronssia;Jääkiekko;NULL;Mika Alatalo;Oulu;Pohjois-Pohjanmaa;NULL
Lillehammer;1994;Pronssia;Jääkiekko;NULL;Tero Lehterä;Espoo;Uusimaa;NULL
Lillehammer;1994;Pronssia;Jääkiekko;NULL;Pasi Kuivalainen;Kuopio;Pohjois-Savo;NULL
Nagano;1998;Pronssia;Jääkiekko;NULL;Jarmo Myllys;Savonlinna;Etelä-Savo;NULL
Nagano;1998;Pronssia;Jääkiekko;NULL;Tuomas Grönman;Viitasaari;Keski-Suomi;NULL
Nagano;1998;Pronssia;Jääkiekko;NULL;Janne Niinimaa;Raahe;Pohjois-Pohjanmaa;NULL
Nagano;1998;Pronssia;Jääkiekko;NULL;Raimo Helminen;Tampere;Pirkanmaa;NULL
Nagano;1998;Pronssia;Jääkiekko;NULL;Jere Lehtinen;Espoo;Uusimaa;NULL
Nagano;1998;Pronssia;Jääkiekko;NULL;Kimmo Rintanen;Rauma (Rauman maalaiskunta);Satakunta;NULL
Nagano;1998;Pronssia;Jääkiekko;NULL;Antti Törmänen;Espoo;Uusimaa;NULL
Nagano;1998;Pronssia;Jääkiekko;NULL;Ari Sulander;Helsinki;Uusimaa;NULL
Nagano;1998;Pronssia;Jääkiekko;NULL;Janne Laukkanen;Lahti;Päijät-Häme;NULL
Nagano;1998;Pronssia;Jääkiekko;NULL;Teppo Numminen;Tampere;Pirkanmaa;NULL
Nagano;1998;Pronssia;Jääkiekko;NULL;Sami Kapanen;Vantaa;Uusimaa;NULL
Nagano;1998;Pronssia;Jääkiekko;NULL;Juha Lind;Helsinki;Uusimaa;NULL
Nagano;1998;Pronssia;Jääkiekko;NULL;Teemu Selänne;Helsinki;Uusimaa;NULL
Nagano;1998;Pronssia;Jääkiekko;NULL;Juha Ylönen;Helsinki;Uusimaa;NULL
Nagano;1998;Pronssia;Jääkiekko;NULL;Jukka Tammi;Tampere;Pirkanmaa;NULL
Nagano;1998;Pronssia;Jääkiekko;NULL;Jyrki Lumme;Tampere;Pirkanmaa;NULL
Nagano;1998;Pronssia;Jääkiekko;NULL;Kimmo Timonen;Kuopio;Pohjois-Savo;NULL
Nagano;1998;Pronssia;Jääkiekko;NULL;Saku Koivu;Turku;Varsinais-Suomi;NULL
Nagano;1998;Pronssia;Jääkiekko;NULL;Mika Nieminen;Tampere;Pirkanmaa;NULL
Nagano;1998;Pronssia;Jääkiekko;NULL;Esa Tikkanen;Helsinki;Uusimaa;NULL
Nagano;1998;Pronssia;Jääkiekko;NULL;Aki Berg;Raisio;Satakunta;NULL
Nagano;1998;Pronssia;Jääkiekko;NULL;Jari Kurri;Helsinki;Uusimaa;NULL
Nagano;1998;Pronssia;Jääkiekko;NULL;Ville Peltonen;Vantaa;Uusimaa;NULL
Nagano;1998;Pronssia;Jääkiekko;NULL;Liisa-Maria Sneck;Helsinki;Uusimaa;NULL
Nagano;1998;Pronssia;Jääkiekko;NULL;Tuula Puputti;Kuopio;Pohjois-Savo;NULL
Nagano;1998;Pronssia;Jääkiekko;NULL;Emma Laaksonen;Washington;Yhdysvallat;NULL
Nagano;1998;Pronssia;Jääkiekko;NULL;Katja Lehto;Jyväskylä;Keski-Suomi;NULL
Nagano;1998;Pronssia;Jääkiekko;NULL;Satu Huotari;Oulu;Pohjois-Pohjanmaa;NULL
Nagano;1998;Pronssia;Jääkiekko;NULL;Johanna Ikonen;Eno;Pohjois-Karjala;NULL
Nagano;1998;Pronssia;Jääkiekko;NULL;Marja-Helena Pälvilä;Oulu;Pohjois-Pohjanmaa;NULL
Nagano;1998;Pronssia;Jääkiekko;NULL;Päivi Salo;Orimattila;Päijät-Häme;NULL
Nagano;1998;Pronssia;Jääkiekko;NULL;Marianne Ihalainen;Tampere;Pirkanmaa;NULL
Nagano;1998;Pronssia;Jääkiekko;NULL;Sari Fisk;Pori;Satakunta;NULL
Nagano;1998;Pronssia;Jääkiekko;NULL;Riikka Nieminen;Jyväskylä;Keski-Suomi;NULL
Nagano;1998;Pronssia;Jääkiekko;NULL;Maria Selin;Helsinki;Uusimaa;NULL
Nagano;1998;Pronssia;Jääkiekko;NULL;Tiia Reima;Tampere;Pirkanmaa;NULL
Nagano;1998;Pronssia;Jääkiekko;NULL;Sari Krooks;Vaasa;Pohjanmaa;NULL
Nagano;1998;Pronssia;Jääkiekko;NULL;Petra Vaarakallio;Helsinki;Uusimaa;NULL
Nagano;1998;Pronssia;Jääkiekko;NULL;Sanna Lankosaari;Kemi;Lappi;NULL
Nagano;1998;Pronssia;Jääkiekko;NULL;Marika Lehtimäki;Tampere;Pirkanmaa;NULL
Nagano;1998;Pronssia;Jääkiekko;NULL;Katja Riipi;Sodankylä;Lappi;NULL
Nagano;1998;Pronssia;Jääkiekko;NULL;Karoliina Rantamäki;Espoo;Uusimaa;NULL
Torino;2006;Hopeaa;Jääkiekko;NULL;Antero Niittymäki;Turku;Varsinais-Suomi;NULL
