kisapaikka;vuosi;mitali;laji;kilpailu;urheilija;kotikunta;maakunta;alkupkunta
CHAMONIX;1924;Kultaa;Pikaluistelu;1500 m pikaluistelu;Clas Thunberg;Helsinki;Uusimaa;NULL
CHAMONIX;1924;Pronssia;Maastohiihto;18 km hiihto;Tapani Niku;Haapavesi;Pohjois-Pohjanmaa;NULL
CHAMONIX;1924;Hopeaa;Pariluistelu;Pariluistelu;Ludovika Jakobsson;Potsdam;Ulkomaat;NULL
CHAMONIX;1924;Hopeaa;Pariluistelu;Pariluistelu;Walter Jakobsson;Helsinki;Uusimaa;NULL
CHAMONIX;1924;Kultaa;Pikaluistelu;5000 m pikaluistelu;Clas Thunberg;Helsinki;Uusimaa;NULL
CHAMONIX;1924;Kultaa;Pikaluistelu;10 000 m pikaluistelu;Julius Skutnabb;Helsinki;Uusimaa;NULL
CHAMONIX;1924;Kultaa;Pikaluistelu;Pikaluistelun yhteispisteet;Clas Thunberg;Helsinki;Uusimaa;NULL
CHAMONIX;1924;Hopeaa;Pikaluistelu;5000 m pikaluistelu;Julius Skutnabb;Helsinki;Uusimaa;NULL
CHAMONIX;1924;Hopeaa;Pikaluistelu;10 000 m pikaluistelu;Clas Thunberg;Helsinki;Uusimaa;NULL
CHAMONIX;1924;Pronssia;Pikaluistelu;500 m pikaluistelu;Clas Thunberg;Helsinki;Uusimaa;NULL
CHAMONIX;1924;Pronssia;Pikaluistelu;Pikaluistelun yhteispisteet;Julius Skutnabb;Helsinki;Uusimaa;NULL
CHAMONIX;1924;Hopeaa;Sotilaspartiohiihto;Sotilaspartiohiihto;Väinö Bremer;Turku;Varsinais-Suomi;NULL
CHAMONIX;1924;Hopeaa;Sotilaspartiohiihto;Sotilaspartiohiihto;August Eskelinen;Iisalmi;Pohjois-Savo;NULL
CHAMONIX;1924;Hopeaa;Sotilaspartiohiihto;Sotilaspartiohiihto;Heikki Hirvonen;Rääkkylä;Pohjois-Karjala;NULL
CHAMONIX;1924;Hopeaa;Sotilaspartiohiihto;Sotilaspartiohiihto;Ville Mattila;Haapavesi;Pohjois-Pohjanmaa;NULL
SANKT MORITZ;1928;Kultaa;Pikaluistelu;500 m pikaluistelu;Clas Thunberg;Helsinki;Uusimaa;NULL
SANKT MORITZ;1928;Kultaa;Pikaluistelu;1500 m pikaluistelu;Clas Thunberg;Helsinki;Uusimaa;NULL
SANKT MORITZ;1928;Hopeaa;Pikaluistelu;5000 m pikaluistelu;Julius Skutnabb;Helsinki;Uusimaa;NULL
SANKT MORITZ;1928;Pronssia;Pikaluistelu;500 m pikaluistelu;Jaakko Friman;Tampere;Pirkanmaa;NULL
LAKE PLACID;1932;Kultaa;Maastohiihto;50 km hiihto;Veli Saarinen;Virolahti;Kymenlaakso;NULL
LAKE PLACID;1932;Hopeaa;Maastohiihto;50 km hiihto;Väinö Liikkanen;Virolahti;Kymenlaakso;NULL
LAKE PLACID;1932;Pronssia;Maastohiihto;18 km hiihto;Veli Saarinen;Virolahti;Kymenlaakso;NULL
GARMISCH-PARTENKIRCHEN;1936;Kultaa;Maastohiihto;4 x 10 km viestihiihto;Sulo Nurmela;Miehikkälä;Kymenlaakso;NULL
GARMISCH-PARTENKIRCHEN;1936;Kultaa;Maastohiihto;4 x 10 km viestihiihto;Klaus Karppinen;Iisalmi;Pohjois-Savo;NULL
GARMISCH-PARTENKIRCHEN;1936;Kultaa;Maastohiihto;4 x 10 km viestihiihto;Matti Lähde;Lappeenranta;Etelä-Karjala;Joutseno
GARMISCH-PARTENKIRCHEN;1936;Kultaa;Maastohiihto;4 x 10 km viestihiihto;Kalle Jalkanen;Suonenjoki;Pohjois-Savo;NULL
